Repo Link,Rating,Pros,Cons,Best Thing About The Project,Bad Thing,1 Highlight
https://github.com/deepaverma04/incubyte-salary-kata,5.9,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/anant1222/Incubyte-Salary-Management-Kata-Python,5.8,Clear backend implementation focus; Strong automated test signal; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Meaningful automated testing,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/Ankit-paswan-au25/Salary-Management-Kata,5.7,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/praveennahar/Incubyte_salary_management_kata_aasignment,5.6,Clear backend implementation focus; Decent automated test coverage; Dockerized local setup,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/shivanidayma61-wq/Incubyte_salary_management_kata_aasignment,5.6,Clear backend implementation focus; Decent automated test coverage; Dockerized local setup,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/anant1222/Incubyte-Salary-Management-Kata,5.5,Clear backend implementation focus; Strong automated test signal,Misses the UI side of the assignment; No obvious public demo or artifact depth,Meaningful automated testing,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/KavyaSudhakar/Incubyte-Salary-Management-Kata,5.4,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/krupali1810/kata_salary_management,5.4,Clear backend implementation focus; Decent automated test coverage; Dockerized local setup,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/rahulverma9449/Incubyte-Salary-Management-Kata,5.4,Clear backend implementation focus; Decent automated test coverage; Dockerized local setup,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/GauravKumar547/Incubyte-Salary-Management-Kata,5.1,Clear backend implementation focus; Decent automated test coverage,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/lokeshrana9999/incubyte-salary-management,5.1,Clear backend implementation focus; Decent automated test coverage,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/vijaykasar/incubyte-salary-management-kata,5.1,Clear backend implementation focus; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; Little or no test evidence; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/praveenprk/Incubyte-Salary-Management-Kata,5.0,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/Shriya-Dutta/incubyte-salary-management-kata,5.0,Clear backend implementation focus; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/rahulkumarprasad/Incubyte-Salary-Management-API-Assessment,4.9,Clear backend implementation focus; Decent automated test coverage,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/PavanDega/incubyte-salary-management-kata,4.8,Clear backend implementation focus; Decent automated test coverage; Dockerized local setup,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/kalpan-ag/Incubyte-Salary-Management,4.7,Clear backend implementation focus; Decent automated test coverage,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/laxmankp11/incubyte-salary-management,4.7,Clear backend implementation focus,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/mahi98jat/salary-management,4.7,Clear backend implementation focus,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/uddiptapathak/incubyte-salary-management,4.7,Clear backend implementation focus; Decent automated test coverage,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/Amalrajesh01/incubyte-salary-kata,4.6,Clear backend implementation focus; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; Little or no test evidence; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/amankumar-19/Incubyte-Salary-Management,4.6,Clear backend implementation focus; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; Little or no test evidence; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/Dharmendra-Vaishandar/Incubyte-Salary-Management-System,4.6,Clear backend implementation focus; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; Little or no test evidence,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/ganeshraisinghani/incubyte-salary-kata,4.1,Clear backend implementation focus,Misses the UI side of the assignment; Little or no test evidence; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Strongest signal comes from API/test/documentation quality
https://github.com/shivampatidar2000/Incubytes-sm-kata-shivampatidar2000,2.9,Clear backend implementation focus; Decent automated test coverage; Dockerized local setup,Misses the UI side of the assignment; Scaffold README was not replaced; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,The default scaffold README makes the repo look unfinished,Dockerized setup lowers reviewer friction
https://github.com/MittalPatel-91/salary_management,2.5,Clear backend implementation focus; Decent automated test coverage; Dockerized local setup,Misses the UI side of the assignment; Scaffold README was not replaced; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,The default scaffold README makes the repo look unfinished,Dockerized setup lowers reviewer friction
https://github.com/ror-deve/incubyte-sm-kata-ror-deve,2.5,Clear backend implementation focus; Dockerized local setup,Misses the UI side of the assignment; Scaffold README was not replaced; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,The default scaffold README makes the repo look unfinished,Dockerized setup lowers reviewer friction
https://github.com/shivanidayma61-wq/Incubyte_salary_management_kata,2.5,Clear backend implementation focus; Dockerized local setup,Misses the UI side of the assignment; Scaffold README was not replaced; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,The default scaffold README makes the repo look unfinished,Dockerized setup lowers reviewer friction
https://github.com/tapskm/salary-management-system,1.5,UI-side effort is visible; Decent automated test coverage; Dockerized local setup,Backend/API completeness is unclear; Scaffold README was not replaced; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,The default scaffold README makes the repo look unfinished,Dockerized setup lowers reviewer friction
https://github.com/vijaykasar/incubyte-salary-management,1.2,A Node/Express direction is visible from the package manifest,Very little implementation and almost no reviewer guidance; no test or product depth signal,The intended stack is at least identifiable,The repo feels far from submission-ready,A few config files without a convincing product implementation is not enough
https://github.com/Tavish-mehra/incubyte-salary-management-system,1.0,"A public repo link exists, which is the minimum starting point for review",Almost no implementation evidence; practically nothing to evaluate,The repo is at least reachable publicly,There is no meaningful submission content here,A repo with only a placeholder README drops out of contention immediately
https://github.com/ankurnitt21/Salary.Management.Assessment.Incubyte,0.8,"At least the repository exists publicly, so it can be linked and audited",Repository is empty or effectively empty,"A public URL exists, which is better than a missing submission link",There is effectively nothing to evaluate,Public but empty repos fall to the bottom immediately
https://github.com/gaurav-gk1/salary-management,0.8,"At least the repository exists publicly, so it can be linked and audited",Repository is empty or effectively empty,"A public URL exists, which is better than a missing submission link",There is effectively nothing to evaluate,Public but empty repos fall to the bottom immediately
https://github.com/kathir0711/incubyte-sm-kata,0.8,"At least the repository exists publicly, so it can be linked and audited",Repository is empty or effectively empty,"A public URL exists, which is better than a missing submission link",There is effectively nothing to evaluate,Public but empty repos fall to the bottom immediately
https://github.com/PAVANKUMAR9119/salary_management_tool_backend,0.8,"At least the repository exists publicly, so it can be linked and audited",Repository is empty or effectively empty,"A public URL exists, which is better than a missing submission link",There is effectively nothing to evaluate,Public but empty repos fall to the bottom immediately
https://github.com/evilc0des/Incubyte-Salary-Management-Assessment-Backend,0.5,Could not inspect the code because the repo was not publicly accessible,Private or unavailable repo; impossible to review fairly,None visible from the public side,Reviewer cannot access the submission at all,Public accessibility is a hard requirement for assessment review
https://github.com/evilc0des/Incubyte-Salary-Management-Assessment-Frontend,0.5,Could not inspect the code because the repo was not publicly accessible,Private or unavailable repo; impossible to review fairly,None visible from the public side,Reviewer cannot access the submission at all,Public accessibility is a hard requirement for assessment review
https://github.com/Gauravarcnet/https-github-com-incubyte-hiring-incubyte-sm-kata-gauravarcnet,0.5,Could not inspect the code because the repo was not publicly accessible,Private or unavailable repo; impossible to review fairly,None visible from the public side,Reviewer cannot access the submission at all,Public accessibility is a hard requirement for assessment review
